# adt/geo residual-line accounting — p1-geo-inc3 (INC-3/3b), 2026-08-01.
# Coverage of record: proofs/coverage-inc3/geo/ (merge-coverage.py, SLOC v2, const tables
# excluded; fuzz lcov = geo_io_diff + geo_ops_diff FINAL fleet floors at the code-final sha,
# coverage-fixed runner a9f7920ab). Every residual line is classified below; NO open gaps remain.
# Classes: denominator-carve | instrument-macro-invocation | instrument-residual-in-fuzzed-fn |
#          defensive-contract-guard | parity-dead-branch | const-eval-only
file	lines	class	note
crates/backend/utils/adt/geo/src/boxes.rs	143	instrument-residual-in-fuzzed-fn	struct-literal/argument/let-decl continuation line the llvm line table leaves unmapped inside a function the 10M campaigns demonstrably execute (surrounding lines covered): Ok(Point {
crates/backend/utils/adt/geo/src/boxes.rs	174,181,218	instrument-residual-in-fuzzed-fn	struct-literal/argument/let-decl continuation line the llvm line table leaves unmapped inside a function the 10M campaigns demonstrably execute (surrounding lines covered): Ok(BOX {
crates/backend/utils/adt/geo/src/boxes.rs	219	instrument-residual-in-fuzzed-fn	struct-literal/argument/let-decl continuation line the llvm line table leaves unmapped inside a function the 10M campaigns demonstrably execute (surrounding lines covered): high: Point {
crates/backend/utils/adt/geo/src/boxes.rs	223	instrument-residual-in-fuzzed-fn	struct-literal/argument/let-decl continuation line the llvm line table leaves unmapped inside a function the 10M campaigns demonstrably execute (surrounding lines covered): low: Point {
crates/backend/utils/adt/geo/src/builtins.rs	74	defensive-contract-guard	out_cstring panic when called without a resolved FmgrInfo; fmgr always resolves out functions (C fmgr passes flinfo unconditionally) — dead by contract, kept as a loud guard
crates/backend/utils/adt/geo/src/builtins.rs	214-218	instrument-macro-invocation	llvm attributes macro-generated fn coverage to the macro DEFINITION body (fc*! lines false-UNCOVERED tree-wide, coverage-measurement 2026-07-30); the generated wrapper named on this line IS differentially driven: fc_recv! heads; wrappers driven by geo_io_diff wire fc plane
crates/backend/utils/adt/geo/src/builtins.rs	243-247	instrument-macro-invocation	llvm attributes macro-generated fn coverage to the macro DEFINITION body (fc*! lines false-UNCOVERED tree-wide, coverage-measurement 2026-07-30); the generated wrapper named on this line IS differentially driven: fc_send! heads; wrappers driven by geo_io_diff wire fc plane
crates/backend/utils/adt/geo/src/builtins.rs	307-314	instrument-macro-invocation	llvm attributes macro-generated fn coverage to the macro DEFINITION body (fc*! lines false-UNCOVERED tree-wide, coverage-measurement 2026-07-30); the generated wrapper named on this line IS differentially driven: point relational fc list; driven by geo_ops_diff fixed ops 129-136 fc plane
crates/backend/utils/adt/geo/src/builtins.rs	318-335	instrument-macro-invocation	llvm attributes macro-generated fn coverage to the macro DEFINITION body (fc*! lines false-UNCOVERED tree-wide, coverage-measurement 2026-07-30); the generated wrapper named on this line IS differentially driven: dist/distance fc list; driven by geo_ops_diff fixed ops 0-15,57-58 fc plane
crates/backend/utils/adt/geo/src/builtins.rs	344-347	instrument-macro-invocation	llvm attributes macro-generated fn coverage to the macro DEFINITION body (fc*! lines false-UNCOVERED tree-wide, coverage-measurement 2026-07-30); the generated wrapper named on this line IS differentially driven: point arith fc list; driven by fixed ops 53-56 fc plane
