# Per-line coverage exceptions (LIT-REVIEW-100PCT §5.1/§8 discipline).
# Row = {file, line, class, c_counterpart, justification, author, review}.
# class ∈ defensive-c-parity | unreachable-arm | platform-other | debug-only.
# Governance: rows enter by PR review only; counted per crate in standings.
# Prefer promotion to a Kani infeasibility proof where the fence is cheap.
#
# MEASUREMENT NOTES (not exceptions — executed lines the instrument leaves
# unmapped, the known multiline-format!-literal false-red class):
#   crates/common/percentrepl/src/lib.rs:43,46 — string-literal continuation
#     lines of format!() inside the EXECUTED unknown-placeholder error arm
#     (neighbors carry DA=317 in the strfam capture 2026-07-30); llvm-cov
#     emits no DA record for them. Board flag: macro_attrib/merge-coverage
#     does not credit multiline format! literals.
#   crates/common/wait_error/src/lib.rs:101 — same class, signaled arm
#     (neighbors DA=5).
#
# p1-lanee batch (2026-07-31) — MEASUREMENT NOTES, adjudicated residual of the
# encoding-batch merge (adt_ascii + base64; fleet 10M + local lcov union,
# 147/161 v2-SLOC): none of the 14 residual lines is reachable-untested
# logic; eyeballed per the pre-share rendered-red audit rule.
#   CONST DATA TABLES the v2 table-exclusion heuristic missed (denominator-
#   exclusion candidates; content certified by proofs + the 10M-exec fleet
#   differential):
#     crates/backend/utils/adt/adt_ascii/src/lib.rs:17-24 (LATIN1/2/9+WIN1250
#       maps, b"..." literal form; C ascii.c in-function string literals),
#       :144 (ASCII_BUILTINS registry head)
#     crates/common/base64/src/lib.rs:7 (B64LOOKUP; cells exercised by
#       proofs/hashenc eq_b64_decode_len0..8 symbolic bytes)
#   CONST-EVAL-ONLY fns, no runtime code (laned int8 const-table-machinery
#   precedent): adt_ascii/src/lib.rs:140-141.
#   MULTILINE format!-LITERAL continuation of an EXECUTED arm (known llvm-cov
#   unmapped class, lanec precedent): adt_ascii/src/lib.rs:113
#   (conversion_not_supported ctor, neighbors covered).
#   DECLARATION-ONLY line, no code emitted: base64/src/lib.rs:76 (`let b`).
#   (crypto/hash-family residuals belong to p1-lanef, the claim of record.)
#   p1-lanef (crypto/hash + tables batches): 32 residual lines are RECORDED AS
#     ROWS in proofs/coverage/lanef/residual-rows-lanef.tsv (auto-exceptions.tsv
#     column shape and semantics; 4 reproduced by --auto-exceptions, 28
#     hand-classified with the blocking classifier gap named in
#     lanef/AUTO-EXCEPTIONS-GAPS.md). Reconciled: crypto 275/295, tables
#     127/139, combined 402/434.
file	line	class	c_counterpart	justification	author	review
crates/common/percentrepl/src/lib.rs	33	unreachable-arm	src/common/percentrepl.c:82-85 (ereport ERROR, noreturn)	ereport(ERROR).finish() always returns Err at ERROR level so `?` diverges; unreachable!() encodes C's noreturn and panics if ever reached (executable claim, audited by every fuzz exec)	p1-lanec	pending
crates/common/percentrepl/src/lib.rs	49	unreachable-arm	src/common/percentrepl.c:116-121 (ereport ERROR, noreturn)	same as line 33 (unknown-placeholder arm)	p1-lanec	pending
crates/common/relpath/src/lib.rs	17	unreachable-arm	src/common/relpath.c:190 forkNames[forkNumber] (invalid fork indexes the table = C UB)	shipped callers only pass the 4 valid forks (GetRelationPath domain invariant); Rust panics where C is UB — panic!() is the executable claim	p1-lanec	pending
crates/common/wait_error/src/lib.rs	19-20	platform-other	wasi-libc (no processes)	cfg(target_family=wasm) system() stub; not compiled on campaign hosts	p1-lanec	pending
crates/common/wait_error/src/lib.rs	31-32	platform-other	wasi-libc W* bit forms	cfg(wasm) WIFEXITED arm; host arm proved full-domain (proofs/strfam eq_wifexited)	p1-lanec	pending
crates/common/wait_error/src/lib.rs	40-41	platform-other	wasi-libc W* bit forms	cfg(wasm) WEXITSTATUS arm; host arm proved (eq_wexitstatus)	p1-lanec	pending
crates/common/wait_error/src/lib.rs	49-50	platform-other	wasi-libc W* bit forms	cfg(wasm) WIFSIGNALED arm; host arm proved (eq_wifsignaled)	p1-lanec	pending
crates/common/wait_error/src/lib.rs	58-59	platform-other	wasi-libc W* bit forms	cfg(wasm) WTERMSIG arm; host arm proved (eq_wtermsig)	p1-lanec	pending
crates/common/wait_error/src/lib.rs	75-76	platform-other	src/port/pgstrsignal.c !HAVE_STRSIGNAL arm	cfg(wasm) pg_strsignal fallback string; host arm differential-fuzzed	p1-lanec	pending
crates/common/wait_error/src/lib.rs	67	defensive-c-parity	src/port/pgstrsignal.c:56-58 (result == NULL -> "unrecognized signal")	strsignal(3) never returns NULL on glibc/macOS; the guard matches C's defensive branch byte-for-byte	p1-lanec	pending
crates/common/wait_error/src/lib.rs	84	defensive-c-parity	src/port/snprintf.c %m expansion strerror fallback	strerror(3) never returns NULL on glibc/macOS; guard mirrors pg snprintf's defensive handling	p1-lanec	pending
