# proofs/aclcheck runqueue — WAVE 9 ACL privilege seam re-opens
# (compile-only pre-build 2026-07-28; ZERO solves run — solver slots saturated).
# Compile gate PASSED: cargo kani --only-codegen -Z c-ffi -Z stubbing (exit 0).
# One line per harness. Run from proofs/aclcheck/. RSS watchdog + one-at-a-time
# per prove-target skill. kissat for expected-green; DEFAULT solver for
# controls/covers/probe (kissat never terminates on failing harnesses).
# State-seam calibration says fc-level harnesses land release-gate tier;
# add --no-assertion-reach-checks if per-assert reach checks fake-wall
# (state-seam-probe lesson: reach-checks x kissat on deep loops).
#
# NOTE eq_aclitemout_named compares a data-dependent-length output image:
# expect the CNF-width law (result-image claims wall); if it walls, record
# wall(CNF width-bound) and keep the two spot harnesses as the 1032 coverage.
# NORMALIZED 2026-07-29 (maintenance lane): canonical 4-col pipe rows
#   <harness> | <expected> | <tier> | <command>
# expected legend: green = expect success; must-fail = negative control /
#   expected-fail witness (pass condition is VERIFICATION FAILED with a
#   decodable counterexample); info = probe / ladder / wall-risk row (verdict
#   recorded, not gated). Harness names fully qualified (module::name) so
#   --exact matches (TRIAGE RVR lesson: bare names never match nested modules).

# (file-local var K expanded into the rows below at normalization)
#   K="cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_aclcheck.c"

# ---- table 1922-1927 (pg_class route: system-catalog strip, superuser,
# acldefault/stored-ACL decode, aclmask, read/write/maintain fixups) ----
proofs::eq_has_table_privilege_id_id | green | release-gate | timeout 600 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_aclcheck.c --solver kissat --no-assertion-reach-checks --harness proofs::eq_has_table_privilege_id_id --exact   # oid 1925 — expect PROVED (release-gate)
proofs::eq_has_table_privilege_name_id | green | release-gate | timeout 600 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_aclcheck.c --solver kissat --no-assertion-reach-checks --harness proofs::eq_has_table_privilege_name_id --exact   # oid 1923
proofs::eq_has_table_privilege_id | green | release-gate | timeout 600 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_aclcheck.c --solver kissat --no-assertion-reach-checks --harness proofs::eq_has_table_privilege_id --exact   # oid 1927
proofs::eq_has_table_privilege_name_name | green | release-gate | timeout 600 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_aclcheck.c --solver kissat --no-assertion-reach-checks --harness proofs::eq_has_table_privilege_name_name --exact   # oid 1922 (obj-name oracle + mcx)
proofs::eq_has_table_privilege_id_name | green | release-gate | timeout 600 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_aclcheck.c --solver kissat --no-assertion-reach-checks --harness proofs::eq_has_table_privilege_id_name --exact   # oid 1924
proofs::eq_has_table_privilege_name | green | release-gate | timeout 600 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_aclcheck.c --solver kissat --no-assertion-reach-checks --harness proofs::eq_has_table_privilege_name --exact   # oid 1926

# ---- sequence 2181-2186 (adds relkind gate incl. NULL/not-a-sequence) ----
proofs::eq_has_sequence_privilege_id_id | green | release-gate | timeout 600 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_aclcheck.c --solver kissat --no-assertion-reach-checks --harness proofs::eq_has_sequence_privilege_id_id --exact   # oid 2184
proofs::eq_has_sequence_privilege_name_id | green | release-gate | timeout 600 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_aclcheck.c --solver kissat --no-assertion-reach-checks --harness proofs::eq_has_sequence_privilege_name_id --exact   # oid 2182
proofs::eq_has_sequence_privilege_id | green | release-gate | timeout 600 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_aclcheck.c --solver kissat --no-assertion-reach-checks --harness proofs::eq_has_sequence_privilege_id --exact   # oid 2186
proofs::eq_has_sequence_privilege_name_name | green | release-gate | timeout 600 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_aclcheck.c --solver kissat --no-assertion-reach-checks --harness proofs::eq_has_sequence_privilege_name_name --exact   # oid 2181
proofs::eq_has_sequence_privilege_id_name | green | release-gate | timeout 600 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_aclcheck.c --solver kissat --no-assertion-reach-checks --harness proofs::eq_has_sequence_privilege_id_name --exact   # oid 2183
proofs::eq_has_sequence_privilege_name | green | release-gate | timeout 600 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_aclcheck.c --solver kissat --no-assertion-reach-checks --harness proofs::eq_has_sequence_privilege_name --exact   # oid 2185

# ---- database 2250-2255 (generic object route) ----
proofs::eq_has_database_privilege_id_id | green | release-gate | timeout 600 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_aclcheck.c --solver kissat --no-assertion-reach-checks --harness proofs::eq_has_database_privilege_id_id --exact   # oid 2253
proofs::eq_has_database_privilege_name_id | green | release-gate | timeout 600 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_aclcheck.c --solver kissat --no-assertion-reach-checks --harness proofs::eq_has_database_privilege_name_id --exact   # oid 2251
proofs::eq_has_database_privilege_id | green | release-gate | timeout 600 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_aclcheck.c --solver kissat --no-assertion-reach-checks --harness proofs::eq_has_database_privilege_id --exact   # oid 2255
proofs::eq_has_database_privilege_name_name | green | release-gate | timeout 600 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_aclcheck.c --solver kissat --no-assertion-reach-checks --harness proofs::eq_has_database_privilege_name_name --exact   # oid 2250
proofs::eq_has_database_privilege_id_name | green | release-gate | timeout 600 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_aclcheck.c --solver kissat --no-assertion-reach-checks --harness proofs::eq_has_database_privilege_id_name --exact   # oid 2252
proofs::eq_has_database_privilege_name | green | release-gate | timeout 600 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_aclcheck.c --solver kissat --no-assertion-reach-checks --harness proofs::eq_has_database_privilege_name --exact   # oid 2254

# ---- function 2257/2259/2261 (name-OBJECT forms 2256/2258/2260 stay
# excluded: regprocedurein resolution is parser+catalog dominated) ----
proofs::eq_has_function_privilege_id_id | green | release-gate | timeout 600 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_aclcheck.c --solver kissat --no-assertion-reach-checks --harness proofs::eq_has_function_privilege_id_id --exact   # oid 2259
proofs::eq_has_function_privilege_name_id | green | release-gate | timeout 600 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_aclcheck.c --solver kissat --no-assertion-reach-checks --harness proofs::eq_has_function_privilege_name_id --exact   # oid 2257
proofs::eq_has_function_privilege_id | green | release-gate | timeout 600 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_aclcheck.c --solver kissat --no-assertion-reach-checks --harness proofs::eq_has_function_privilege_id --exact   # oid 2261

# ---- language 2262-2267 ----
proofs::eq_has_language_privilege_id_id | green | release-gate | timeout 600 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_aclcheck.c --solver kissat --no-assertion-reach-checks --harness proofs::eq_has_language_privilege_id_id --exact   # oid 2265
proofs::eq_has_language_privilege_name_id | green | release-gate | timeout 600 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_aclcheck.c --solver kissat --no-assertion-reach-checks --harness proofs::eq_has_language_privilege_name_id --exact   # oid 2263
proofs::eq_has_language_privilege_id | green | release-gate | timeout 600 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_aclcheck.c --solver kissat --no-assertion-reach-checks --harness proofs::eq_has_language_privilege_id --exact   # oid 2267
proofs::eq_has_language_privilege_name_name | green | release-gate | timeout 600 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_aclcheck.c --solver kissat --no-assertion-reach-checks --harness proofs::eq_has_language_privilege_name_name --exact   # oid 2262
proofs::eq_has_language_privilege_id_name | green | release-gate | timeout 600 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_aclcheck.c --solver kissat --no-assertion-reach-checks --harness proofs::eq_has_language_privilege_id_name --exact   # oid 2264
