file	sloc	kani	fuzz	regress	any
crates/backend/utils/adt/tsrank/src/builtins.rs	86	0	83	0	83
crates/backend/utils/adt/tsrank/src/lib.rs	0	0	0	0	0
crates/backend/utils/adt/tsrank/src/qsort.rs	91	0	91	0	91
crates/backend/utils/adt/tsrank/src/rank.rs	163	0	162	0	162
crates/backend/utils/adt/tsrank/src/rank_cd.rs	190	0	184	0	184
crates/backend/utils/adt/tsrank/src/tests.rs	0	0	0	0	0
crates/backend/utils/adt/tsvector_core/src/builtins.rs	287	0	209	0	209
crates/backend/utils/adt/tsvector_core/src/execute.rs	293	0	197	0	197
crates/backend/utils/adt/tsvector_core/src/io.rs	212	0	209	0	209
crates/backend/utils/adt/tsvector_core/src/layout.rs	110	0	107	0	107
crates/backend/utils/adt/tsvector_core/src/lib.rs	0	0	0	0	0
crates/backend/utils/adt/tsvector_core/src/op.rs	299	0	287	0	287
crates/backend/utils/adt/tsvector_core/src/parser.rs	156	0	143	0	143
crates/backend/utils/adt/tsvector_core/src/qsort.rs	91	0	91	0	91
crates/backend/utils/adt/tsvector_core/src/query.rs	44	0	39	0	39
crates/backend/utils/adt/tsvector_core/src/tests.rs	0	0	0	0	0
CRATE:crates/backend/utils/adt/tsrank	530	0	520	0	520
CRATE:crates/backend/utils/adt/tsvector_core	1492	0	1282	0	1282
TOTAL	2022	0	1802	0	1802
