function	c2rust_loc	our_loc	verdict	perfect_match	note
MemoryContextSwitchTo	snapmgr.rs:1248	(inlined / mcxt)	MATCH	yes	c2rust inline accessor; modeled by explicit Mcx threading per repo convention, behavior-identical.
DatumGetPointer	snapmgr.rs:1254	(types-fmgr Datum conv)	MATCH	yes	c2rust inline Datum conversion macro; identical bit-cast.
PointerGetDatum	snapmgr.rs:1258	(types-fmgr Datum conv)	MATCH	yes	c2rust inline Datum conversion macro; identical.
list_length	snapmgr.rs:1266	(types-nodes List accessor)	MATCH	yes	c2rust inline list.h accessor; length read, identical.
pg_lfind32_one_by_one_helper	snapmgr.rs:1273	lib.rs:115 (pg_lfind32, fused)	MATCH	yes	c2rust SIMD-fallback helper; the scalar element-equality scan is fused into pg_lfind32; same result.
pg_lfind32	snapmgr.rs:1288	lib.rs:115	MATCH	yes	Linear search of u32 array for value; SIMD path collapses to scalar iterator scan, behavior-identical.
ResourceOwnerRememberSnapshot	snapmgr.rs:1487	— (RAII guard)	SEAMED	no	resowner registry dissolved into RAII guards per docs/query-lifecycle-raii.md; remember is caller's guard, not snapmgr logic.
ResourceOwnerForgetSnapshot	snapmgr.rs:1498	— (RAII guard)	SEAMED	no	Same: resowner forget is caller's guard, dissolved.
GetTransactionSnapshot	snapmgr.rs:1509	lib.rs:255	MATCH	yes	Historic short-circuit, FirstSnapshotSet first-call path, serializable/xact-snapshot copy + regd_count++ + registered_add, else paths all mirrored.
GetLatestSnapshot	snapmgr.rs:1576	lib.rs:327	MATCH	yes	parallel-mode elog, historic assert, first-call delegate, SecondarySnapshot fetch.
GetCatalogSnapshot	snapmgr.rs:1613	lib.rs:348	MATCH	yes	historic short-circuit then NonHistoric.
GetNonHistoricCatalogSnapshot	snapmgr.rs:1620	lib.rs:358	MATCH	yes	refresh predicate CatalogSnapshot && !RelationInvalidatesSnapshotsOnly && !RelationHasSysCache; manual registered_add.
InvalidateCatalogSnapshot	snapmgr.rs:1636	lib.rs:384	MATCH	yes	remove from registered + NULL + SnapshotResetXmin.
InvalidateCatalogSnapshotConditionally	snapmgr.rs:1647	lib.rs:397	MATCH	yes	catalog && active==NULL && singular.
SnapshotSetCommandId	snapmgr.rs:1656	lib.rs:407	MATCH	yes	first_snapshot_set guard; sets curcid on Current/Secondary; CatalogSnapshot left open.
SetTransactionSnapshot	snapmgr.rs:1667	lib.rs:429	MATCH	yes	field copy w/ xcnt/subxcnt asserts; restored vs imported xmin install w/ same SQLSTATE/detail; serializable copy; curcid not copied; snapXactCompletionCount=0.
CopySnapshot	snapmgr.rs:1805	lib.rs:533	MATCH	yes	xip copy; subxip copy gated on subxcnt>0 && (!suboverflowed || takenDuringRecovery); refcounts/copied/snapXactCompletionCount reset.
FreeSnapshot	snapmgr.rs:1862	(Rc drop)	MATCH	yes	C pfree when both counts 0 modeled by last Rc drop; asserts mirrored at Pop/AtSubAbort/UnregisterNoOwner.
PushActiveSnapshot	snapmgr.rs:1866	lib.rs:569	MATCH	yes	delegates with GetCurrentTransactionNestLevel().
PushActiveSnapshotWithLevel	snapmgr.rs:1870	lib.rs:574	MATCH	yes	copy-if ==Current||==Secondary||!copied via ptr_eq; active_count++; push; level assert.
PushCopiedSnapshot	snapmgr.rs:1896	lib.rs:607	MATCH	yes	force-copy then push.
UpdateActiveSnapshotCommandId	snapmgr.rs:1900	lib.rs:612	MATCH	yes	asserts active_count==1/regd_count==0; parallel-mode guard on curcid change.
PopActiveSnapshot	snapmgr.rs:1938	lib.rs:637	MATCH	yes	pop, active_count--, free-when-zero (Rc drop), SnapshotResetXmin.
GetActiveSnapshot	snapmgr.rs:1956	lib.rs:665	MATCH	yes	top of stack.
ActiveSnapshotSet	snapmgr.rs:1960	lib.rs:676	MATCH	yes	!active.is_empty().
RegisterSnapshot	snapmgr.rs:1964	lib.rs:688	MATCH	yes	InvalidSnapshot->None; delegates to OnOwner.
RegisterSnapshotOnOwner	snapmgr.rs:1971	lib.rs:694	MATCH	yes	copy-if-not-copied, regd_count++, registered_add when ==1; ResourceOwnerEnlarge/Remember elided (RAII guard, query-lifecycle-raii).
UnregisterSnapshot	snapmgr.rs:1993	lib.rs:712	MATCH	yes	NULL->noop; delegates.
UnregisterSnapshotFromOwner	snapmgr.rs:2000	lib.rs:721	MATCH	yes	resowner Forget is caller's guard; NoOwner core preserved.
