family	suite_harness	kani_harness	rc	wall_s	verdict	status	kaniraw_new
int-arith	proofs::cover_casts_both_arms	proofs::cover_casts_both_arms	0	3	VERIFICATION:- SUCCESSFUL	RAN	1
int-arith	proofs::cover_in_range_both_arms	proofs::cover_in_range_both_arms	0	4	VERIFICATION:- SUCCESSFUL	RAN	1
int-arith	proofs::cover_inc_dec_both_arms	proofs::cover_inc_dec_both_arms	0	3	VERIFICATION:- SUCCESSFUL	RAN	1
int-arith	proofs::eq_i2toi4	proofs::eq_i2toi4	0	2	VERIFICATION:- SUCCESSFUL	RAN	1
int-arith	proofs::eq_i4toi2	proofs::eq_i4toi2	0	2	VERIFICATION:- SUCCESSFUL	RAN	1
int-arith	proofs::eq_i8tooid	proofs::eq_i8tooid	0	2	VERIFICATION:- SUCCESSFUL	RAN	1
int-arith	proofs::eq_in_range_int2_int2	proofs::eq_in_range_int2_int2	0	2	VERIFICATION:- SUCCESSFUL	RAN	1
int-arith	proofs::eq_in_range_int2_int4	proofs::eq_in_range_int2_int4	0	3	VERIFICATION:- SUCCESSFUL	RAN	1
int-arith	proofs::eq_in_range_int2_int8	proofs::eq_in_range_int2_int8	0	2	VERIFICATION:- SUCCESSFUL	RAN	1
int-arith	proofs::eq_in_range_int4_int2	proofs::eq_in_range_int4_int2	0	2	VERIFICATION:- SUCCESSFUL	RAN	1
int-arith	proofs::eq_in_range_int4_int4	proofs::eq_in_range_int4_int4	0	2	VERIFICATION:- SUCCESSFUL	RAN	1
int-arith	proofs::eq_in_range_int4_int8	proofs::eq_in_range_int4_int8	0	2	VERIFICATION:- SUCCESSFUL	RAN	1
int-arith	proofs::eq_in_range_int8_int8	proofs::eq_in_range_int8_int8	0	3	VERIFICATION:- SUCCESSFUL	RAN	1
int-arith	proofs::eq_int28	proofs::eq_int28	0	2	VERIFICATION:- SUCCESSFUL	RAN	1
int-arith	proofs::eq_int2and	proofs::eq_int2and	0	9	VERIFICATION:- SUCCESSFUL	RAN	1
int-arith	proofs::eq_int2not	proofs::eq_int2not	0	2	VERIFICATION:- SUCCESSFUL	RAN	1
int-arith	proofs::eq_int2or	proofs::eq_int2or	0	3	VERIFICATION:- SUCCESSFUL	RAN	1
int-arith	proofs::eq_int2shl	proofs::eq_int2shl	0	2	VERIFICATION:- SUCCESSFUL	RAN	1
int-arith	proofs::eq_int2shr	proofs::eq_int2shr	0	5	VERIFICATION:- SUCCESSFUL	RAN	1
int-arith	proofs::eq_int2xor	proofs::eq_int2xor	0	2	VERIFICATION:- SUCCESSFUL	RAN	1
int-arith	proofs::eq_int48	proofs::eq_int48	0	2	VERIFICATION:- SUCCESSFUL	RAN	1
int-arith	proofs::eq_int4and	proofs::eq_int4and	0	7	VERIFICATION:- SUCCESSFUL	RAN	1
int-arith	proofs::eq_int4inc	proofs::eq_int4inc	0	2	VERIFICATION:- SUCCESSFUL	RAN	1
int-arith	proofs::eq_int4not	proofs::eq_int4not	0	1	VERIFICATION:- SUCCESSFUL	RAN	1
int-arith	proofs::eq_int4or	proofs::eq_int4or	0	9	VERIFICATION:- SUCCESSFUL	RAN	1
int-arith	proofs::eq_int4shl	proofs::eq_int4shl	0	2	VERIFICATION:- SUCCESSFUL	RAN	1
int-arith	proofs::eq_int4shr	proofs::eq_int4shr	0	1	VERIFICATION:- SUCCESSFUL	RAN	1
int-arith	proofs::eq_int4xor	proofs::eq_int4xor	0	2	VERIFICATION:- SUCCESSFUL	RAN	1
int-arith	proofs::eq_int82	proofs::eq_int82	0	2	VERIFICATION:- SUCCESSFUL	RAN	1
int-arith	proofs::eq_int84	proofs::eq_int84	0	2	VERIFICATION:- SUCCESSFUL	RAN	1
int-arith	proofs::eq_int8and	proofs::eq_int8and	0	2	VERIFICATION:- SUCCESSFUL	RAN	1
int-arith	proofs::eq_int8dec	proofs::eq_int8dec	0	2	VERIFICATION:- SUCCESSFUL	RAN	1
int-arith	proofs::eq_int8dec_any	proofs::eq_int8dec_any	0	2	VERIFICATION:- SUCCESSFUL	RAN	1
int-arith	proofs::eq_int8inc	proofs::eq_int8inc	0	1	VERIFICATION:- SUCCESSFUL	RAN	1
int-arith	proofs::eq_int8inc_any	proofs::eq_int8inc_any	0	2	VERIFICATION:- SUCCESSFUL	RAN	1
int-arith	proofs::eq_int8not	proofs::eq_int8not	0	1	VERIFICATION:- SUCCESSFUL	RAN	1
int-arith	proofs::eq_int8or	proofs::eq_int8or	0	2	VERIFICATION:- SUCCESSFUL	RAN	1
int-arith	proofs::eq_int8shl	proofs::eq_int8shl	0	1	VERIFICATION:- SUCCESSFUL	RAN	1
int-arith	proofs::eq_int8shr	proofs::eq_int8shr	0	2	VERIFICATION:- SUCCESSFUL	RAN	1
int-arith	proofs::eq_int8xor	proofs::eq_int8xor	0	1	VERIFICATION:- SUCCESSFUL	RAN	1
int-arith	proofs::eq_oidtoi8	proofs::eq_oidtoi8	0	2	VERIFICATION:- SUCCESSFUL	RAN	1
int-arith	proofs::model_int2shl	proofs::model_int2shl	0	2	VERIFICATION:- SUCCESSFUL	RAN	1
int-arith	proofs::model_int2shr	proofs::model_int2shr	0	14	VERIFICATION:- SUCCESSFUL	RAN	1
int-arith	proofs::model_int4shl	proofs::model_int4shl	0	2	VERIFICATION:- SUCCESSFUL	RAN	1
int-arith	proofs::model_int4shr	proofs::model_int4shr	0	1	VERIFICATION:- SUCCESSFUL	RAN	1
int-arith	proofs::model_int8shl	proofs::model_int8shl	0	1	VERIFICATION:- SUCCESSFUL	RAN	1
int-arith	proofs::model_int8shr	proofs::model_int8shr	0	2	VERIFICATION:- SUCCESSFUL	RAN	1
