# Lane-K REMEDIATED residual for adt/formatting (proofs/gr-fmt, 2026-07-31).
# RECORDED rows: uncovered v2-SLOC lines NOT excepted; each carries a per-line reason.
# Companion legs: hand exception rows appended to proofs/coverage/phase1-exceptions.tsv
# (lane p1-lanek-remediation) and mechanical rows in auto-exceptions.tsv (this dir).
file	line	class	reason	snippet
crates/backend/utils/adt/formatting/src/case.rs	47	defensive-dead	index_seq_search off-end guard: both keyword tables end in a single-char always-matching keyword ('y'/'v'), so the scan never runs off the terminal group	return None;
crates/backend/utils/adt/formatting/src/dch.rs	133	env-pin-shadow	localized-name-too-long guard: needs a locale whose month/day names exceed (keylen+TM)*DCH_MAX_ITEM_SIZ; impossible under the pinned C-locale English names	Err(PgError::error("localized string format value too long")
crates/backend/utils/adt/formatting/src/dch.rs	134	env-pin-shadow	localized-name-too-long guard: needs a locale whose month/day names exceed (keylen+TM)*DCH_MAX_ITEM_SIZ; impossible under the pinned C-locale English names	.with_sqlstate(ERRCODE_DATETIME_VALUE_OUT_OF_RANGE)
crates/backend/utils/adt/formatting/src/dch.rs	135	env-pin-shadow	localized-name-too-long guard: needs a locale whose month/day names exceed (keylen+TM)*DCH_MAX_ITEM_SIZ; impossible under the pinned C-locale English names	.into())
crates/backend/utils/adt/formatting/src/dch.rs	331	env-pin-shadow	requires session gmtoff not a whole hour; harness pins timezone=GMT (offset 0)	out.push(b':');
crates/backend/utils/adt/formatting/src/dch.rs	332	env-pin-shadow	requires session gmtoff not a whole hour; harness pins timezone=GMT (offset 0)	let mins = ((tm.tm_gmtoff as i32).unsigned_abs() % SECS_PER_HOUR as u32)
crates/backend/utils/adt/formatting/src/dch.rs	333	env-pin-shadow	requires session gmtoff not a whole hour; harness pins timezone=GMT (offset 0)	/ SECS_PER_MINUTE as u32;
crates/backend/utils/adt/formatting/src/dch.rs	334	env-pin-shadow	requires session gmtoff not a whole hour; harness pins timezone=GMT (offset 0)	pg_append(&mut out, fmt_0d(2, mins as i64).as_bytes());
crates/backend/utils/adt/formatting/src/dch.rs	372	defensive-dead	tm_mon==0 guard: interval pictures error in invalid_for_interval first; timestamp tm_mon is always 1..12; mirrors C's `if (!tm->tm_mon) break;` in the DCH_to_char month-name arms	continue;
crates/backend/utils/adt/formatting/src/dch.rs	382	env-pin-shadow	append_tm_localized over-length error edge: needs non-C lc_time localized month/day names longer than (keylen+TM)*DCH_MAX_ITEM_SIZ; pinned C-locale English names are short ASCII	)?;
crates/backend/utils/adt/formatting/src/dch.rs	395	defensive-dead	tm_mon==0 guard: interval pictures error in invalid_for_interval first; timestamp tm_mon is always 1..12; mirrors C's `if (!tm->tm_mon) break;` in the DCH_to_char month-name arms	continue;
crates/backend/utils/adt/formatting/src/dch.rs	405	env-pin-shadow	append_tm_localized over-length error edge: needs non-C lc_time localized month/day names longer than (keylen+TM)*DCH_MAX_ITEM_SIZ; pinned C-locale English names are short ASCII	)?;
crates/backend/utils/adt/formatting/src/dch.rs	420	defensive-dead	tm_mon==0 guard: interval pictures error in invalid_for_interval first; timestamp tm_mon is always 1..12; mirrors C's `if (!tm->tm_mon) break;` in the DCH_to_char month-name arms	continue;
crates/backend/utils/adt/formatting/src/dch.rs	430	env-pin-shadow	append_tm_localized over-length error edge: needs non-C lc_time localized month/day names longer than (keylen+TM)*DCH_MAX_ITEM_SIZ; pinned C-locale English names are short ASCII	)?;
