# proofs/strings-scalar runqueue — byteain pass-one + toast header
# accessors + btvarstrequalimage (tail-triage strings/toast-hdr group).
# PRE-BUILD LANE 2026-07-29: harnesses written + codegen-gated ONLY
#   (cargo kani --only-codegen -Z c-ffi -Z stubbing --c-lib c/pg_strings_scalar.c : PASS, exit 0).
# ZERO kani/cbmc solves have been run. Expected classes are claim-before-code
# triage, not verdicts.
#
# Run from proofs/strings-scalar/, ONE harness at a time, own-process-group
# kill on timeout. kissat for expected-green; DEFAULT solver for controls,
# covers, and anything being decoded (kissat never terminates on failing
# harnesses). Judge near-cap runs on CBMC-reported Verification Time under
# multi-lane load. -Z stubbing is load-bearing on every line (mcx +
# cached_arg_typlen + PgError stubs).
#
# Ledger bookkeeping (rows to update at solve time):
#   1244 byteain (escape pass-one; \x arm fenced -> proofs/hex)
#   1269 pg_column_size    2121 pg_column_compression
#   6316 pg_column_toast_chunk_id    5050 btvarstrequalimage
# Ledger wording owed on green: "value-space only; modulo static-buffer
# allocator model + typlen/locale seam (identical both sides)".
#
# harness | expected | tier | command
proofs::eq_byteain_escape_verdict         | GREEN     | per-commit   | timeout 75 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_strings_scalar.c --solver kissat --harness proofs::eq_byteain_escape_verdict --exact    # expect: PROVED(len<=8, escape style; hex arm fenced) — pass-two stores in formula but unread; if it walls, drop to len<=6 before recording
proofs::eq_byteain_escape_content_len4    | GREEN/wall | release-gate | timeout 350 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_strings_scalar.c --solver kissat --harness proofs::eq_byteain_escape_content_len4 --exact  # expect: ladder — result-image claim at cap 4 (derived-offset stores); wall(CNF width) is an acceptable verdict, verdict harness above still covers 1244  # REPAIRED 2026-07-29: unwind 7->10 (sym_cstring<9> fill loop = 8 iters; fleet fabricated-FAIL removed); still walls locally at 350s = the documented acceptable wall — repaired-pending-fleet
proofs::cover_byteain_regimes             | COVERS    | control      | timeout 350 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_strings_scalar.c --harness proofs::cover_byteain_regimes --exact                             # expect: all 4 covers SATISFIED (DEFAULT solver)
proofs::control_byteain_len_skew          | MUST-FAIL | control      | timeout 350 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_strings_scalar.c --harness proofs::control_byteain_len_skew --exact                          # expect: VERIFICATION FAILED w/ decodable counterexample (section-A rig non-vacuity)
proofs::eq_pg_column_size_varlena         | GREEN     | per-commit   | timeout 75 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_strings_scalar.c --solver kissat --harness proofs::eq_pg_column_size_varlena --exact          # expect: PROVED(all fenced 18B images) fast — pure header bit-decode
proofs::eq_pg_column_size_cstring         | GREEN/ladder | release-gate | timeout 350 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_strings_scalar.c --solver kissat --harness proofs::eq_pg_column_size_cstring --exact      # expect: ladder — dual NUL-scan (strlen vs CStr) len<=8; derived-length law says maybe wall: then record spots(len 0/1/8) via concrete edits
proofs::eq_pg_column_size_fixed           | GREEN     | per-commit   | timeout 75 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_strings_scalar.c --solver kissat --harness proofs::eq_pg_column_size_fixed --exact            # expect: PROVED(typlen 1..=i16::MAX) fast
proofs::eq_pg_column_compression_varlena  | GREEN     | per-commit   | timeout 75 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_strings_scalar.c --solver kissat --harness proofs::eq_pg_column_compression_varlena --exact   # expect: PROVED — which-verdict + 4/5-byte literal text image
proofs::eq_pg_column_compression_nonvarlena | GREEN   | per-commit   | timeout 75 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_strings_scalar.c --solver kissat --harness proofs::eq_pg_column_compression_nonvarlena --exact # expect: PROVED (NULL plane)
proofs::eq_pg_column_toast_chunk_id       | GREEN     | per-commit   | timeout 75 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_strings_scalar.c --solver kissat --harness proofs::eq_pg_column_toast_chunk_id --exact        # expect: PROVED(all fenced 18B images) fast
proofs::cover_toast_regimes               | COVERS    | control      | timeout 350 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_strings_scalar.c --harness proofs::cover_toast_regimes --exact                               # expect: all 7 covers SATISFIED (DEFAULT solver)  # REPAIRED 2026-07-29: VARATT_EXTERNAL_GET_POINTER added verbatim to varatt_rel18.h (was missing); 7/7 covers SATISFIED locally 0.1s
