# auto-exceptions.tsv — MECHANICALLY classified instrument-unmappable residual lines.
# Generated by proofs/coverage/auto_exceptions.py; classes licensed by proofs/coverage/rig-auto-classes.py (GREEN required).
# DISTINCT from hand-adjudicated exception rows: an auto: row is a measurement note (the
# instrument emits no mapping for the line), NOT a semantic adjudication. Rows here need
# no PR review to exist, but they never move a line out of any denominator.
file	line	class	rule	evidence
crates/backend/utils/adt/network/src/builtins.rs	129	auto:macro-decl	declaration row inside generator-macro invocation block (rig-auto-classes: macro-decl; macro_attrib geometry)	shape rig-verified; line table has no DA at 129
crates/backend/utils/adt/network/src/builtins.rs	133	auto:macro-decl	declaration row inside generator-macro invocation block (rig-auto-classes: macro-decl; macro_attrib geometry)	shape rig-verified; line table has no DA at 133
crates/backend/utils/adt/network/src/builtins.rs	164	auto:macro-decl	declaration row inside generator-macro invocation block (rig-auto-classes: macro-decl; macro_attrib geometry)	shape rig-verified; line table has no DA at 164
crates/backend/utils/adt/network/src/builtins.rs	165	auto:macro-decl	declaration row inside generator-macro invocation block (rig-auto-classes: macro-decl; macro_attrib geometry)	shape rig-verified; line table has no DA at 165
crates/backend/utils/adt/network/src/builtins.rs	166	auto:macro-decl	declaration row inside generator-macro invocation block (rig-auto-classes: macro-decl; macro_attrib geometry)	shape rig-verified; line table has no DA at 166
crates/backend/utils/adt/network/src/builtins.rs	167	auto:macro-decl	declaration row inside generator-macro invocation block (rig-auto-classes: macro-decl; macro_attrib geometry)	shape rig-verified; line table has no DA at 167
crates/backend/utils/adt/network/src/builtins.rs	168	auto:macro-decl	declaration row inside generator-macro invocation block (rig-auto-classes: macro-decl; macro_attrib geometry)	shape rig-verified; line table has no DA at 168
crates/backend/utils/adt/network/src/builtins.rs	169	auto:macro-decl	declaration row inside generator-macro invocation block (rig-auto-classes: macro-decl; macro_attrib geometry)	shape rig-verified; line table has no DA at 169
crates/backend/utils/adt/network/src/builtins.rs	200	auto:macro-decl	declaration row inside generator-macro invocation block (rig-auto-classes: macro-decl; macro_attrib geometry)	shape rig-verified; line table has no DA at 200
crates/backend/utils/adt/network/src/builtins.rs	201	auto:macro-decl	declaration row inside generator-macro invocation block (rig-auto-classes: macro-decl; macro_attrib geometry)	shape rig-verified; line table has no DA at 201
crates/backend/utils/adt/network/src/builtins.rs	202	auto:macro-decl	declaration row inside generator-macro invocation block (rig-auto-classes: macro-decl; macro_attrib geometry)	shape rig-verified; line table has no DA at 202
crates/backend/utils/adt/network/src/builtins.rs	203	auto:macro-decl	declaration row inside generator-macro invocation block (rig-auto-classes: macro-decl; macro_attrib geometry)	shape rig-verified; line table has no DA at 203
crates/backend/utils/adt/network/src/builtins.rs	216	auto:macro-decl	declaration row inside generator-macro invocation block (rig-auto-classes: macro-decl; macro_attrib geometry)	shape rig-verified; line table has no DA at 216
crates/backend/utils/adt/network/src/builtins.rs	217	auto:macro-decl	declaration row inside generator-macro invocation block (rig-auto-classes: macro-decl; macro_attrib geometry)	shape rig-verified; line table has no DA at 217
crates/backend/utils/adt/network/src/builtins.rs	218	auto:macro-decl	declaration row inside generator-macro invocation block (rig-auto-classes: macro-decl; macro_attrib geometry)	shape rig-verified; line table has no DA at 218
crates/backend/utils/adt/network/src/builtins.rs	219	auto:macro-decl	declaration row inside generator-macro invocation block (rig-auto-classes: macro-decl; macro_attrib geometry)	shape rig-verified; line table has no DA at 219
crates/backend/utils/adt/network/src/builtins.rs	220	auto:macro-decl	declaration row inside generator-macro invocation block (rig-auto-classes: macro-decl; macro_attrib geometry)	shape rig-verified; line table has no DA at 220
crates/backend/utils/adt/network/src/builtins.rs	300	auto:fmt-cont	bare-argument continuation line of format-family macro invocation (rig-auto-classes: fmt-cont)	no DA record at crates/backend/utils/adt/network/src/builtins.rs:300; instrumented context within +-10 lines (line table)
crates/backend/utils/adt/network/src/builtins.rs	301	auto:fmt-cont	bare-argument continuation line of format-family macro invocation (rig-auto-classes: fmt-cont)	no DA record at crates/backend/utils/adt/network/src/builtins.rs:301; instrumented context within +-10 lines (line table)
crates/backend/utils/adt/network/src/builtins.rs	302	auto:fmt-cont	literal/bare-arg continuation line of format-family macro invocation (rig-auto-classes: fmt-cont)	no DA record at crates/backend/utils/adt/network/src/builtins.rs:302; instrumented context within +-10 lines (line table)
crates/backend/utils/adt/network/src/builtins.rs	423	auto:table-head	multi-line const/static bracket-initializer head (rig-auto-classes: table-head)	shape rig-verified; line table has no DA at 423
crates/backend/utils/adt/network/src/lib.rs	130	auto:fmt-cont	literal/bare-arg continuation line of format-family macro invocation (rig-auto-classes: fmt-cont)	no DA record at crates/backend/utils/adt/network/src/lib.rs:130; instrumented context within +-10 lines (line table)
crates/backend/utils/adt/network/src/pton.rs	64	auto:let-decl	bare `let x: T;` without initializer (rig-auto-classes: let-decl)	shape rig-verified; line table has no DA at 64
crates/backend/utils/adt/network/src/pton.rs	213	auto:let-decl	bare `let x: T;` without initializer (rig-auto-classes: let-decl)	shape rig-verified; line table has no DA at 213
crates/backend/utils/adt/network/src/pton.rs	214	auto:let-decl	bare `let x: T;` without initializer (rig-auto-classes: let-decl)	shape rig-verified; line table has no DA at 214
crates/backend/utils/adt/network/src/pton.rs	217	auto:let-decl	bare `let x: T;` without initializer (rig-auto-classes: let-decl)	shape rig-verified; line table has no DA at 217
