# Machine-generated by the test-strategy lane 2026-07-30 rev2 (method: proofs/TESTING-STRATEGY.md "Method").
# Two axes, never collapsed:
#   oracle_today: real-PG = fleet-run pg_regress/e2e differential (expected output minted from real PostgreSQL 18.3);
#                 vendored-C = in-process compare vs vendored REL_18_STABLE C; none = nothing tests this function.
#   input_coverage_today: fixed-corpus(route) = reached by the hand-written regress/e2e corpus via the named route
#                 (a handful of literals, NOT exploration); random(native-diff) = mass-random driver exists;
#                 none = not reached. Coverage-guided fuzzing reaches ZERO rows today. sqlsmith/simharness
#                 randomized SQL is per-function unattributable and credited to no row.
#   state_mockability (state class only): mockable-now = state already behind an existing seam/sim cfg;
#                 mockable-in-process = in-process with mock catalog rows / fabricated context, no server;
#                 mockable-with-new-seam; mixed-triage; irreducible = only meaningful in a live server.
#   test_strategy: cgf-* = coverage-guided differential fuzzing (primary technique; see strategy doc).
name	class	oracle_today	input_coverage_today	state_mockability	test_strategy
regprocin	state	real-PG	fixed-corpus(named)	mockable-now	cgf-native-diff(seam-mock)
regprocout	state	real-PG	fixed-corpus(named)	mockable-now	cgf-native-diff(seam-mock)
nameregexeq	engine	real-PG	fixed-corpus(named)		cgf-native-diff(engine-kernel)
point_in	blocked	real-PG	fixed-corpus(type-literal)		cgf-sql-differential
point_out	wall	real-PG	fixed-corpus(type-literal)		cgf-native-diff
lseg_in	blocked	real-PG	fixed-corpus(type-literal)		cgf-sql-differential
lseg_out	wall	real-PG	fixed-corpus(type-literal)		cgf-native-diff
path_in	wall	real-PG	fixed-corpus(type-literal)		cgf-native-diff
path_out	wall	real-PG	fixed-corpus(type-literal)		cgf-native-diff
box_in	blocked	real-PG	fixed-corpus(type-literal)		cgf-sql-differential
box_out	wall	real-PG	fixed-corpus(type-literal)		cgf-native-diff
on_ppath	wall	real-PG	fixed-corpus(operator)		cgf-native-diff
float4in	wall	real-PG	fixed-corpus(named)		cgf-native-diff
float4out	wall	real-PG	fixed-corpus(type-literal)		cgf-native-diff
float8in	wall	real-PG	fixed-corpus(named)		cgf-native-diff
float8out	wall	real-PG	fixed-corpus(named)		cgf-native-diff
poly_center	wall	real-PG	fixed-corpus(named)		cgf-native-diff
line_distance	wall	real-PG	fixed-corpus(operator)		cgf-native-diff
nameconcatoid	wall	none	none		cgf-native-diff
timeofday	state	real-PG	fixed-corpus(named)	mockable-now	cgf-native-diff(seam-mock)
inter_sl	wall	real-PG	fixed-corpus(operator)		cgf-native-diff
inter_lb	wall	real-PG	fixed-corpus(operator)		cgf-native-diff
pg_jit_available	state	none	none	mixed-triage	triage-then-cgf-or-invariant
json_in	wall	real-PG	fixed-corpus(type-literal)		cgf-native-diff
json_recv	wall	real-PG	fixed-corpus(wire-name-only,weak)		cgf-native-diff
gisthandler	non-surface	real-PG	fixed-corpus(named)		cgf-sql-differential
spghandler	non-surface	none	none		cgf-sql-differential
amvalidate	state	real-PG	fixed-corpus(named)	mixed-triage	triage-then-cgf-or-invariant
poly_in	wall	real-PG	fixed-corpus(type-literal)		cgf-native-diff
poly_out	wall	real-PG	fixed-corpus(type-literal)		cgf-native-diff
dist_bp	wall	real-PG	fixed-corpus(named)		cgf-native-diff
lseg_distance	wall	real-PG	fixed-corpus(operator)		cgf-native-diff
lseg_interpt	wall	real-PG	fixed-corpus(operator)		cgf-native-diff
dist_ps	wall	real-PG	fixed-corpus(named)		cgf-native-diff
dist_pb	wall	real-PG	fixed-corpus(named)		cgf-native-diff
dist_sb	wall	real-PG	fixed-corpus(named)		cgf-native-diff
close_ps	wall	real-PG	fixed-corpus(operator)		cgf-native-diff
close_pb	wall	real-PG	fixed-corpus(operator)		cgf-native-diff
close_sb	wall	real-PG	fixed-corpus(operator)		cgf-native-diff
dist_ppath	wall	real-PG	fixed-corpus(named)		cgf-native-diff
text_to_array_null	blocked	real-PG	fixed-corpus(proname)		cgf-sql-differential
array_append	typcache	real-PG	fixed-corpus(named)		cgf-native-diff(typcache-mock)
array_prepend	typcache	real-PG	fixed-corpus(named)		cgf-native-diff(typcache-mock)
dist_sp	wall	real-PG	fixed-corpus(named)		cgf-native-diff
dist_bs	wall	real-PG	fixed-corpus(named)		cgf-native-diff
array_cat	typcache	real-PG	fixed-corpus(named)		cgf-native-diff(typcache-mock)
array_to_text_null	typcache	real-PG	fixed-corpus(proname)		cgf-native-diff(typcache-mock)
text_to_array	blocked	real-PG	fixed-corpus(proname)		cgf-sql-differential
array_to_text	typcache	real-PG	fixed-corpus(proname)		cgf-native-diff(typcache-mock)
dist_pathp	wall	real-PG	fixed-corpus(named)		cgf-native-diff
array_larger	typcache	real-PG	fixed-corpus(named)		cgf-native-diff(typcache-mock)
array_smaller	typcache	real-PG	fixed-corpus(named)		cgf-native-diff(typcache-mock)
cidr_abbrev	wall	real-PG	fixed-corpus(proname)		cgf-native-diff
hash_array	typcache	real-PG	fixed-corpus(named)		cgf-native-diff(typcache-mock)
dist_lp	wall	real-PG	fixed-corpus(named)		cgf-native-diff
dist_ls	wall	real-PG	fixed-corpus(named)		cgf-native-diff
current_user	state	real-PG	fixed-corpus(named)	mockable-now	cgf-native-diff(seam-mock)
be_lo_create	state	real-PG	fixed-corpus(proname)	irreducible	cgf-sql-differential-pinned-state
dist_pl	wall	real-PG	fixed-corpus(named)		cgf-native-diff
dist_sl	wall	real-PG	fixed-corpus(named)		cgf-native-diff
dist_cpoly	wall	real-PG	fixed-corpus(operator)		cgf-native-diff
poly_distance	wall	real-PG	fixed-corpus(operator)		cgf-native-diff
current_user	state	real-PG	fixed-corpus(named)	mockable-now	cgf-native-diff(seam-mock)
session_user	state	real-PG	fixed-corpus(named)	mockable-now	cgf-native-diff(seam-mock)
array_in	typcache	real-PG	fixed-corpus(named)		cgf-native-diff(typcache-mock)
array_out	typcache	real-PG	fixed-corpus(named)		cgf-native-diff(typcache-mock)
be_lo_import	state	real-PG	fixed-corpus(proname)	irreducible	cgf-sql-differential-pinned-state
