# proofs/bytea-cmp runqueue — get/set byte/bit wave, oids 721/723/722/724
# (compile-only pre-build 2026-07-28; NOT yet run — solver slots saturated).
# The pre-existing comparator-family harnesses (byteaeq..byteacmp,
# bytea_larger/smaller + control_byteacmp_short_c_len) are already recorded
# in the ledger and are not re-queued here.
# kissat for expected-green, DEFAULT solver for the control.
# Run from proofs/bytea-cmp/.
# NORMALIZED 2026-07-29 (maintenance lane): canonical 4-col pipe rows
#   <harness> | <expected> | <tier> | <command>
# expected legend: green = expect success; must-fail = negative control /
#   expected-fail witness (pass condition is VERIFICATION FAILED with a
#   decodable counterexample); info = probe / ladder / wall-risk row (verdict
#   recorded, not gated). Harness names fully qualified (module::name) so
#   --exact matches (TRIAGE RVR lesson: bare names never match nested modules).

proofs::eq_bytea_get_byte | green | per-commit | timeout 30 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_bytea_cmp.c --solver kissat --harness proofs::eq_bytea_get_byte --exact   # expect: PROVED (fast) — oid 721; len<=8, full-i32 n; value+verdict+sqlstate 2202E | RAN 2026-07-29: proved 0.89s kissat (ledger 721)
proofs::eq_bytea_get_bit | green | per-commit | timeout 30 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_bytea_cmp.c --solver kissat --harness proofs::eq_bytea_get_bit --exact   # expect: PROVED (fast) — oid 723; len<=8, full-i64 n; value+verdict+sqlstate 2202E | RAN 2026-07-29: proved 1.13s kissat (ledger 723)
proofs::eq_bytea_set_byte | info | release-gate | timeout 30 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_bytea_cmp.c --solver kissat --harness proofs::eq_bytea_set_byte --exact   # expect: PROVED (mcx recipe; if >10s try default solver — mixed-arm inversion trap) — oid 722; result image + (char)-truncation plane + 2202E | RAN 2026-07-29: wall(CNF width-bound at symbolic len<=8, both solvers); len=4 spot form proved 104.9s DEFAULT solver — ledger 722; grow/dealloc mcx stubs load-bearing (TRIAGE RVR)
proofs::eq_bytea_set_bit | info | release-gate | timeout 30 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_bytea_cmp.c --solver kissat --harness proofs::eq_bytea_set_bit --exact   # expect: PROVED (mcx recipe; same solver note) — oid 724; result image + 2202E + 22023 planes (3-way cover) | RAN 2026-07-29: wall(CNF width-bound at symbolic len<=8, both solvers; same circuit as 722) — ledger 724
proofs::control_get_byte_short_c_len | must-fail | control | timeout 30 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_bytea_cmp.c --harness proofs::control_get_byte_short_c_len --exact   # expect: VERIFICATION FAILED (negative control, DEFAULT solver; decode before recording)

# --- scalar-cast / bit-count / to-base wave (lane pick-a 2026-07-30) ---
proofs::eq_bytea_int2 | green | per-commit | timeout 30 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_bytea_cmp.c --solver kissat --harness proofs::eq_bytea_int2 --exact   # RAN 2026-07-30: proved 1.3s (ledger 6370)
proofs::eq_bytea_int4 | green | per-commit | timeout 30 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_bytea_cmp.c --solver kissat --harness proofs::eq_bytea_int4 --exact   # RAN 2026-07-30: proved 1.3s (ledger 6371)
proofs::eq_bytea_int8 | green | per-commit | timeout 30 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_bytea_cmp.c --solver kissat --harness proofs::eq_bytea_int8 --exact   # RAN 2026-07-30: proved 1.4s (ledger 6372)
proofs::eq_bytea_larger | green | per-commit | timeout 30 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_bytea_cmp.c --solver kissat --harness proofs::eq_bytea_larger --exact   # RAN 2026-07-30: proved 2.9s (ledger 6393; harness pre-existed unrecorded)
proofs::eq_bytea_smaller | green | per-commit | timeout 30 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_bytea_cmp.c --solver kissat --harness proofs::eq_bytea_smaller --exact   # RAN 2026-07-30: proved 3.2s (ledger 6394)
proofs::eq_bytea_bit_count | green | per-commit | timeout 30 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_bytea_cmp.c --solver kissat --harness proofs::eq_bytea_bit_count --exact   # RAN 2026-07-30: proved 0.8s (ledger 6163; len<=7 table path, NEON arm blocked:simd)
proofs::eq_to_hex32 | green | per-commit | timeout 30 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_bytea_cmp.c --solver kissat --harness proofs::eq_to_hex32 --exact   # RAN 2026-07-30: proved 1.0s (ledger 2089)
proofs::eq_to_hex64 | green | per-commit | timeout 30 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_bytea_cmp.c --solver kissat --harness proofs::eq_to_hex64 --exact   # RAN 2026-07-30: proved 1.5s (ledger 2090)
proofs::eq_to_oct32 | green | per-commit | timeout 30 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_bytea_cmp.c --solver kissat --harness proofs::eq_to_oct32 --exact   # RAN 2026-07-30: proved 1.5s (ledger 6332)
proofs::eq_to_oct64 | green | per-commit | timeout 30 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_bytea_cmp.c --solver kissat --harness proofs::eq_to_oct64 --exact   # RAN 2026-07-30: proved 1.2s (ledger 6333)
proofs::eq_to_bin32 | green | per-commit | timeout 30 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_bytea_cmp.c --solver kissat --harness proofs::eq_to_bin32 --exact   # RAN 2026-07-30: proved 1.8s (ledger 6330)
proofs::eq_to_bin64 | green | per-commit | timeout 30 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_bytea_cmp.c --solver kissat --harness proofs::eq_to_bin64 --exact   # RAN 2026-07-30: proved 1.7s (ledger 6331)
proofs::control_to_base_skewed_value | must-fail | control | timeout 30 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_bytea_cmp.c --harness proofs::control_to_base_skewed_value --exact   # RAN 2026-07-30: VERIFICATION FAILED 0.5s on "start_c as usize == start_r && cf == rf" (correct check name; DEFAULT solver)
proofs::eq_int2_bytea | green | calibration | timeout 180 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_bytea_cmp.c --harness proofs::eq_int2_bytea --exact   # RAN 2026-07-30: proved 100s DEFAULT solver (kissat symex-walls: mixed-arm inversion trap) (ledger 6367)
proofs::eq_int4_bytea | green | calibration | timeout 240 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_bytea_cmp.c --harness proofs::eq_int4_bytea --exact   # RAN 2026-07-30: proved 89s DEFAULT solver (ledger 6368)
proofs::eq_int8_bytea | green | calibration | timeout 240 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_bytea_cmp.c --harness proofs::eq_int8_bytea --exact   # RAN 2026-07-30: proved 88s DEFAULT solver (ledger 6369)
proofs::eq_byteain_escaped_count | green | per-commit | timeout 30 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_bytea_cmp.c --solver kissat --harness proofs::eq_byteain_escaped_count --exact   # RAN 2026-07-30: proved 4.5s (ledger 1244; escaped pass-one core)
